NAME,POSITION,Market size,No of emp,DATE,TITLE,LIKE,DISLIKE,BENEFITS
Andreas H.,Unknown,Small-Business,50 or fewer emp.,08-Mar-23,"""Planhat is a phenomenal tool for CSMs to organize their clients and to automate processes""","I love how easy it is to design reports that show the health of my clients. If one of my clients has an activity coming up, it is easy to log the activity and create a daily digest of what is due, what is coming up, and what I can put on the back burner. As you might expect of a company designed to be a tool for customer success, their customer support is awesome too! Review collected by and hosted on G2.com.","A bug has made it difficult for me to have the transparency I'd like with my management about my clients, resulting in the need to do a lot of manual work. Their dev team is working on a fix. The responsiveness of their support team and CSM gives me confidence that it will be a short-term issue! Review collected by and hosted on G2.com.",Planhat has reduced the need for our department to rely on multiple software and spreadsheets to manage our clients. This has freed up more time to focus on internal company improvements. Review collected by and hosted on G2.com.
Zehavit B.,Unknown,Small-Business,50 or fewer emp.,22-Feb-23,"""My every day, working with PlanHat""","All the available functions and its interface are friendly to the user. Has a wide variety of options for both CSM's and administrator users, reliable support and up-to-date with CS best practices.
","The SF integration took too much time than expected.
","All of the above, 
"
Jeremy S.,Customer Success Director EMEA,Mid-Market,51-1000 emp.,10-Jan-23,"""Planhat is a must for all Customer Success teams""","From a CSM's perspective Planhat enables them to have a single, easy-to-use application to effectively manage all of their customer interactions within: From health score, to next actions and automated plays. From a CX leadership perspective Planhat helps ensure consistency of CX delivery across the organisation coupled with necessary reporting. Review collected by and hosted on G2.com.","The user interface is super easy to use, however a small number of minor bugs with the display of icons exist. Review collected by and hosted on G2.com.","Aprimo needed a solution to both:
"
Jurgita P.,M,Mid-Market,51-1000 emp.,28-Nov-22,"""One tool to streamline information about customers""","We like the 360 degrees view the most. It allowed us to ditch all kinds of different spreadsheets and focus only on one source of truth, which makes us come up with faster solutions and decisions, as well as to keep everyone aligned on the next steps needed. If a client needs to be re-assigned to a new CSM, the information does not get lost, and from the Managers perspective this helps to save a tremendous amount of time
","There are still a few small bugs/glitches that we know are being addressed by their tech teams. 
","Planhat is providing transparent information about our clients, and allows everyone in the company to have the access to it, and contribute. Like this customer Success is not only the matter of Success team, but yes, the whole company Review collected by and hosted on G2.com."
Ryan O.,COO,Unknown,Unknown,11-Nov-22,"""Planhat has been a gamechanger for us!""",Unknown,Unknown,Unknown
Bethany B.,"Manager, Customer Experience & Success",Mid-Market,51-1000 emp.,09-Nov-22,"""Great service, easy to use platform""","My team feels supported by our CSM to be there whenever we want to enhance current business processes. He comes with best practices and is willing to build out reports, dashboards, or anything else that would make our day-to-day a bit easier. Review collected by and hosted on G2.com.","A test environment would allow us to build out playbooks or test health scores without affecting production data. You have to pay more in your contract to have a test area that doesn't work within budget; I believe that should be included. Reporting filters can be complex. Auto-saving would be an awesome enhancement (the way a google doc would); taking notes on a call and losing them when you accidentally close it out or hit the back button gets to be frustrating. Customer portal enhancements would be great as well, I do not feel confident directing my clients to log into their portal for practical use. Review collected by and hosted on G2.com.","Quickly view important metrics at a glance while on a call with a client (renewal date, monthly cost, goals, notes from previous call, etc.). Report on my team's book of business to ensure client distribution is done evenly. Confirm renewals within the tool that triggers to accounts team to process accordingly. Review collected by and hosted on G2.com."
Marija S.,Susiness System Analyst,Mid-Market,51-1000 emp.,08-Nov-22,"""Amazing tool that allows CS teams to stay on top of the game!""","One of the most user-friendly interfaces!
","I would say that Planhat is a young system with a lot of potential, and the fact that they are young means there is definitely room for improvement, and I am  very excited to see what its features will look like in the future Review collected by and hosted on G2.com.",It helps our overall customer journey from the beginning through reaching the success phase and it definitely helps reps be proactive with their Accounts. Review collected by and hosted on G2.com.
Alex R.,Chief Information Officer & Co-Founder,Small-Business,50 or fewer emp.,08-Nov-22,"""Very Easy to Setup, Very Easy To Use. Love it""","We have recently implemented PlanHat in to our organisation for use with Customer Success. The whole process of OnBoarding to getting started has been extremely easy - I've set up other systems like PlanHat previously and this was by far the most straightforward. The support and assistance we received from PlanHat, in particular Sam, via our weekly onboarding calls was excellent. If we ever had a question or problem - Sam or the support team were there to help out. Review collected by and hosted on G2.com.",So far I've not found anything that I personally dislike about PlanHat. The UI is really clean and straightforward. The setup was fantastic. If I were being incredibly picky - I'd say a native integration with Chargebee would be handy but we worked around this problem through changing our workflow into Hubspot and pulling in the data from there. Not a big issue at all. Review collected by and hosted on G2.com.,"EvaluAgent chose PlanHat to assist our Customer Success and Account Management teams with a single portal for managing customers during their contract with us - we can bring usage data, conversations from various platforms we use (email, zendesk, hubspot) all in to one place. We can also begin to standardise on processes through the use of Playbooks built-in to Planhat Review collected by and hosted on G2.com."
Mackenzie A.,Customer Success Operations Manager,Mid-Market,51-1000 emp.,03-Nov-22,"""Easy to use, great customer insights, world class support""","We use the calculated metrics to set up automations to help optimize processes between CS and Sales. It's easy to track all of our customer data and we use their integrations heavily. The UI is easy to use and fun to set up. The learning curve isn't that big, and many customization options exist. The support team is very responsive (within minutes) and are always happy to help and answer questions. Our CSM Peter, is incredible and gives world class service. They also host a lot of webinars and have articles on CS best practices which helps the community learn and grow from best practices. Review collected by and hosted on G2.com.",They don't have robust note capabilities and charge for add-ons for simple functions you would expect to include in a CRM platform. There are limitations with visualizing and exporting data which I hope to see more improvements on. Review collected by and hosted on G2.com.,Having one tool to consolidate all data. The integrations make it easy to pull in all data from Salesforce and Zendesk and then we as a CS team can use that data how we'd like without interrupting other teams' workflows. There are so many options to customize and arrange the data to make it work for any business Review collected by and hosted on G2.com.
John W.,Product Specialist,Mid-Market,51-1000 emp.,02-Nov-22,"""Planhat is the Best in Class CS Platform - We Love it!""","I find that Planhat is best at taking every single data point and making it readily available and valuable.  We can measure our impact, growth, performance and more with the available data points.  It excels in how is presents the data and makes it readily available with reporting and dashboards that are easy to use and understand. Review collected by and hosted on G2.com.","To my point above, a lot of data can sometimes be overwhelming.  But once I have spent time in the system and better understood its sourcing and configurations, I was far less overwhelmed.   Its more of an initial shock when you see how capable the tool is, but that in turn, ends up being a good thing.  Its been easy to learn as well. Review collected by and hosted on G2.com.","Planhat is solving our problem of having so many sources of truth for client data.  Our CRM is very much geared toward sales. Thus, the CS team is left navigating between several different tools to gather information.  Planhat has agregating all of our data and is allowing us to leverage automation in a way that we have not done before.  Its building effeciency and insights into our client accounts that we have desperately needed for many years. Review collected by and hosted on G2.com."
